User,Compound,tweetago
@nytimes,0.0,1
@nytimes,-0.765,2
@nytimes,0.422,3
@nytimes,-0.422,4
@nytimes,0.0,5
@nytimes,-0.612,6
@nytimes,0.296,7
@nytimes,0.0,8
@nytimes,0.0,9
@nytimes,0.0,10
@nytimes,-0.34,11
@nytimes,0.751,12
@nytimes,0.511,13
@nytimes,-0.202,14
@nytimes,-0.296,15
@nytimes,-0.318,16
@nytimes,0.735,17
@nytimes,-0.791,18
@nytimes,0.0,19
@nytimes,-0.296,20
@nytimes,0.791,21
@nytimes,0.0,22
@nytimes,0.0,23
@nytimes,0.273,24
@nytimes,0.0,25
@nytimes,0.202,26
@nytimes,0.0,27
@nytimes,0.71,28
@nytimes,0.494,29
@nytimes,0.807,30
@nytimes,0.0,31
@nytimes,0.751,32
@nytimes,-0.226,33
@nytimes,0.402,34
@nytimes,0.0,35
@nytimes,0.25,36
@nytimes,-0.511,37
@nytimes,0.637,38
@nytimes,-0.881,39
@nytimes,-0.296,40
@nytimes,-0.36,41
@nytimes,0.0,42
@nytimes,0.44,43
@nytimes,0.402,44
@nytimes,-0.077,45
@nytimes,-0.296,46
@nytimes,-0.226,47
@nytimes,0.0,48
@nytimes,0.0,49
@nytimes,0.422,50
@nytimes,0.0,51
@nytimes,0.477,52
@nytimes,-0.572,53
@nytimes,0.0,54
@nytimes,0.318,55
@nytimes,0.402,56
@nytimes,0.0,57
@nytimes,0.612,58
@nytimes,0.612,59
@nytimes,-0.361,60
@nytimes,0.273,61
@nytimes,0.318,62
@nytimes,0.0,63
@nytimes,0.827,64
@nytimes,0.0,65
@nytimes,0.586,66
@nytimes,-0.66,67
@nytimes,0.0,68
@nytimes,0.596,69
@nytimes,-0.494,70
@nytimes,0.0,71
@nytimes,0.791,72
@nytimes,-0.382,73
@nytimes,0.0,74
@nytimes,-0.026,75
@nytimes,-0.7,76
@nytimes,-0.586,77
@nytimes,0.727,78
@nytimes,-0.848,79
@nytimes,0.296,80
@nytimes,0.593,81
@nytimes,0.859,82
@nytimes,-0.477,83
@nytimes,0.0,84
@nytimes,-0.444,85
@nytimes,-0.898,86
@nytimes,-0.681,87
@nytimes,0.44,88
@nytimes,0.0,89
@nytimes,-0.638,90
@nytimes,-0.649,91
@nytimes,-0.402,92
@nytimes,-0.637,93
@nytimes,0.026,94
@nytimes,-0.832,95
@nytimes,-0.0,96
@nytimes,0.0,97
@nytimes,-0.273,98
@nytimes,0.0,99
@nytimes,0.0,100
@cnnbrk,0.0,1
@cnnbrk,-0.557,2
@cnnbrk,-0.296,3
@cnnbrk,-0.34,4
@cnnbrk,-0.586,5
@cnnbrk,0.0,6
@cnnbrk,-0.402,7
@cnnbrk,0.178,8
@cnnbrk,-0.765,9
@cnnbrk,0.0,10
@cnnbrk,-0.402,11
@cnnbrk,-0.649,12
@cnnbrk,0.586,13
@cnnbrk,-0.586,14
@cnnbrk,-0.318,15
@cnnbrk,0.0,16
@cnnbrk,0.0,17
@cnnbrk,0.0,18
@cnnbrk,0.0,19
@cnnbrk,-0.511,20
@cnnbrk,0.0,21
@cnnbrk,0.128,22
@cnnbrk,-0.459,23
@cnnbrk,0.494,24
@cnnbrk,0.0,25
@cnnbrk,0.681,26
@cnnbrk,0.226,27
@cnnbrk,0.178,28
@cnnbrk,0.862,29
@cnnbrk,-0.681,30
@cnnbrk,0.0,31
@cnnbrk,-0.557,32
@cnnbrk,-0.67,33
@cnnbrk,-0.681,34
@cnnbrk,-0.66,35
@cnnbrk,-0.25,36
@cnnbrk,-0.511,37
@cnnbrk,-0.649,38
@cnnbrk,0.0,39
@cnnbrk,-0.557,40
@cnnbrk,0.791,41
@cnnbrk,0.0,42
@cnnbrk,0.494,43
@cnnbrk,-0.681,44
@cnnbrk,-0.318,45
@cnnbrk,0.511,46
@cnnbrk,0.0,47
@cnnbrk,-0.103,48
@cnnbrk,0.0,49
@cnnbrk,-0.599,50
@cnnbrk,-0.422,51
@cnnbrk,-0.844,52
@cnnbrk,-0.818,53
@cnnbrk,0.422,54
@cnnbrk,0.0,55
@cnnbrk,0.422,56
@cnnbrk,-0.806,57
@cnnbrk,-0.226,58
@cnnbrk,0.0,59
@cnnbrk,0.557,60
@cnnbrk,0.66,61
@cnnbrk,-0.557,62
@cnnbrk,-0.34,63
@cnnbrk,0.485,64
@cnnbrk,-0.527,65
@cnnbrk,0.557,66
@cnnbrk,-0.422,67
@cnnbrk,0.557,68
@cnnbrk,0.743,69
@cnnbrk,-0.67,70
@cnnbrk,0.557,71
@cnnbrk,0.557,72
@cnnbrk,0.361,73
@cnnbrk,0.557,74
@cnnbrk,-0.44,75
@cnnbrk,0.296,76
@cnnbrk,-0.494,77
@cnnbrk,0.557,78
@cnnbrk,-0.542,79
@cnnbrk,-0.494,80
@cnnbrk,0.44,81
@cnnbrk,0.717,82
@cnnbrk,-0.178,83
@cnnbrk,0.0,84
@cnnbrk,-0.64,85
@cnnbrk,0.0,86
@cnnbrk,0.0,87
@cnnbrk,-0.361,88
@cnnbrk,0.0,89
@cnnbrk,0.0,90
@cnnbrk,0.34,91
@cnnbrk,0.0,92
@cnnbrk,-0.796,93
@cnnbrk,-0.625,94
@cnnbrk,0.402,95
@cnnbrk,-0.068,96
@cnnbrk,0.0,97
@cnnbrk,0.0,98
@cnnbrk,0.557,99
@cnnbrk,0.681,100
@cbsnews,-0.052,1
@cbsnews,0.0,2
@cbsnews,-0.081,3
@cbsnews,-0.807,4
@cbsnews,0.0,5
@cbsnews,0.0,6
@cbsnews,-0.202,7
@cbsnews,0.0,8
@cbsnews,0.527,9
@cbsnews,0.0,10
@cbsnews,-0.772,11
@cbsnews,-0.796,12
@cbsnews,0.0,13
@cbsnews,0.0,14
@cbsnews,-0.296,15
@cbsnews,0.0,16
@cbsnews,-0.318,17
@cbsnews,0.527,18
@cbsnews,0.0,19
@cbsnews,0.649,20
@cbsnews,0.202,21
@cbsnews,0.494,22
@cbsnews,-0.527,23
@cbsnews,0.273,24
@cbsnews,0.494,25
@cbsnews,-0.67,26
@cbsnews,-0.542,27
@cbsnews,0.0,28
@cbsnews,0.604,29
@cbsnews,0.296,30
@cbsnews,0.0,31
@cbsnews,0.103,32
@cbsnews,0.0,33
@cbsnews,0.0,34
@cbsnews,-0.523,35
@cbsnews,-0.807,36
@cbsnews,0.361,37
@cbsnews,0.0,38
@cbsnews,-0.527,39
@cbsnews,0.637,40
@cbsnews,0.0,41
@cbsnews,-0.296,42
@cbsnews,0.0,43
@cbsnews,-0.44,44
@cbsnews,0.052,45
@cbsnews,-0.7,46
@cbsnews,-0.309,47
@cbsnews,-0.226,48
@cbsnews,-0.625,49
@cbsnews,0.422,50
@cbsnews,0.853,51
@cbsnews,0.511,52
@cbsnews,0.077,53
@cbsnews,-0.862,54
@cbsnews,0.052,55
@cbsnews,-0.296,56
@cbsnews,-0.25,57
@cbsnews,0.402,58
@cbsnews,0.408,59
@cbsnews,0.557,60
@cbsnews,0.527,61
@cbsnews,-0.477,62
@cbsnews,0.0,63
@cbsnews,0.0,64
@cbsnews,-0.637,65
@cbsnews,0.0,66
@cbsnews,0.026,67
@cbsnews,-0.361,68
@cbsnews,-0.802,69
@cbsnews,0.422,70
@cbsnews,-0.382,71
@cbsnews,-0.494,72
@cbsnews,0.0,73
@cbsnews,0.636,74
@cbsnews,-0.459,75
@cbsnews,0.44,76
@cbsnews,0.0,77
@cbsnews,0.832,78
@cbsnews,0.593,79
@cbsnews,0.0,80
@cbsnews,-0.66,81
@cbsnews,0.153,82
@cbsnews,-0.494,83
@cbsnews,-0.494,84
@cbsnews,0.44,85
@cbsnews,-0.318,86
@cbsnews,0.44,87
@cbsnews,-0.511,88
@cbsnews,0.0,89
@cbsnews,0.0,90
@cbsnews,-0.226,91
@cbsnews,0.077,92
@cbsnews,-0.494,93
@cbsnews,0.0,94
@cbsnews,0.0,95
@cbsnews,-0.318,96
@cbsnews,0.0,97
@cbsnews,-0.886,98
@cbsnews,-0.052,99
@cbsnews,-0.382,100
@foxnews,0.0,1
@foxnews,-0.569,2
@foxnews,0.0,3
@foxnews,0.0,4
@foxnews,-0.511,5
@foxnews,0.743,6
@foxnews,-0.822,7
@foxnews,0.0,8
@foxnews,-0.422,9
@foxnews,-0.649,10
@foxnews,0.202,11
@foxnews,-0.477,12
@foxnews,-0.67,13
@foxnews,-0.494,14
@foxnews,0.0,15
@foxnews,-0.791,16
@foxnews,-0.477,17
@foxnews,0.0,18
@foxnews,0.128,19
@foxnews,0.608,20
@foxnews,-0.477,21
@foxnews,-0.296,22
@foxnews,-0.382,23
@foxnews,-0.681,24
@foxnews,0.052,25
@foxnews,-0.25,26
@foxnews,0.0,27
@foxnews,0.0,28
@foxnews,0.0,29
@foxnews,0.0,30
@foxnews,-0.382,31
@foxnews,0.0,32
@foxnews,0.0,33
@foxnews,0.026,34
@foxnews,0.0,35
@foxnews,0.494,36
@foxnews,-0.527,37
@foxnews,0.0,38
@foxnews,-0.34,39
@foxnews,0.0,40
@foxnews,0.0,41
@foxnews,0.077,42
@foxnews,0.0,43
@foxnews,0.0,44
@foxnews,0.751,45
@foxnews,0.0,46
@foxnews,-0.612,47
@foxnews,0.44,48
@foxnews,-0.765,49
@foxnews,0.0,50
@foxnews,0.0,51
@foxnews,0.0,52
@foxnews,0.0,53
@foxnews,0.0,54
@foxnews,-0.402,55
@foxnews,0.44,56
@foxnews,0.743,57
@foxnews,0.0,58
@foxnews,0.402,59
@foxnews,0.44,60
@foxnews,-0.649,61
@foxnews,-0.542,62
@foxnews,0.0,63
@foxnews,0.0,64
@foxnews,0.477,65
@foxnews,0.361,66
@foxnews,0.494,67
@foxnews,0.0,68
@foxnews,0.402,69
@foxnews,0.751,70
@foxnews,0.0,71
@foxnews,-0.341,72
@foxnews,0.0,73
@foxnews,0.115,74
@foxnews,0.541,75
@foxnews,0.0,76
@foxnews,0.422,77
@foxnews,0.875,78
@foxnews,0.0,79
@foxnews,0.0,80
@foxnews,-0.296,81
@foxnews,-0.44,82
@foxnews,0.0,83
@foxnews,-0.542,84
@foxnews,0.557,85
@foxnews,0.0,86
@foxnews,-0.052,87
@foxnews,0.0,88
@foxnews,0.0,89
@foxnews,0.0,90
@foxnews,0.402,91
@foxnews,0.0,92
@foxnews,0.0,93
@foxnews,-0.34,94
@foxnews,-0.052,95
@foxnews,0.0,96
@foxnews,0.459,97
@foxnews,-0.296,98
@foxnews,0.422,99
@foxnews,0.0,100
@bbcbreaking,-0.883,1
@bbcbreaking,-0.832,2
@bbcbreaking,-0.727,3
@bbcbreaking,0.0,4
@bbcbreaking,0.0,5
@bbcbreaking,-0.637,6
@bbcbreaking,-0.572,7
@bbcbreaking,-0.66,8
@bbcbreaking,-0.557,9
@bbcbreaking,0.707,10
@bbcbreaking,-0.735,11
@bbcbreaking,0.273,12
@bbcbreaking,-0.557,13
@bbcbreaking,0.557,14
@bbcbreaking,0.572,15
@bbcbreaking,0.34,16
@bbcbreaking,0.0,17
@bbcbreaking,-0.296,18
@bbcbreaking,0.0,19
@bbcbreaking,-0.743,20
@bbcbreaking,-0.586,21
@bbcbreaking,0.035,22
@bbcbreaking,0.026,23
@bbcbreaking,-0.64,24
@bbcbreaking,-0.735,25
@bbcbreaking,0.0,26
@bbcbreaking,-0.026,27
@bbcbreaking,-0.827,28
@bbcbreaking,0.422,29
@bbcbreaking,0.0,30
@bbcbreaking,0.0,31
@bbcbreaking,0.84,32
@bbcbreaking,0.226,33
@bbcbreaking,-0.026,34
@bbcbreaking,0.25,35
@bbcbreaking,-0.557,36
@bbcbreaking,0.128,37
@bbcbreaking,-0.875,38
@bbcbreaking,0.654,39
@bbcbreaking,-0.511,40
@bbcbreaking,0.0,41
@bbcbreaking,-0.382,42
@bbcbreaking,0.0,43
@bbcbreaking,-0.44,44
@bbcbreaking,0.361,45
@bbcbreaking,0.0,46
@bbcbreaking,0.077,47
@bbcbreaking,-0.361,48
@bbcbreaking,0.0,49
@bbcbreaking,0.542,50
@bbcbreaking,-0.586,51
@bbcbreaking,-0.202,52
@bbcbreaking,-0.527,53
@bbcbreaking,-0.557,54
@bbcbreaking,0.077,55
@bbcbreaking,-0.052,56
@bbcbreaking,0.103,57
@bbcbreaking,0.0,58
@bbcbreaking,0.052,59
@bbcbreaking,0.0,60
@bbcbreaking,-0.649,61
@bbcbreaking,-0.67,62
@bbcbreaking,-0.689,63
@bbcbreaking,0.202,64
@bbcbreaking,0.0,65
@bbcbreaking,0.0,66
@bbcbreaking,-0.735,67
@bbcbreaking,-0.735,68
@bbcbreaking,-0.844,69
@bbcbreaking,-0.256,70
@bbcbreaking,0.658,71
@bbcbreaking,0.527,72
@bbcbreaking,-0.44,73
@bbcbreaking,0.0,74
@bbcbreaking,-0.371,75
@bbcbreaking,0.625,76
@bbcbreaking,-0.856,77
@bbcbreaking,0.84,78
@bbcbreaking,-0.923,79
@bbcbreaking,-0.718,80
@bbcbreaking,-0.077,81
@bbcbreaking,-0.649,82
@bbcbreaking,-0.765,83
@bbcbreaking,-0.787,84
@bbcbreaking,-0.822,85
@bbcbreaking,0.402,86
@bbcbreaking,0.0,87
@bbcbreaking,-0.273,88
@bbcbreaking,0.324,89
@bbcbreaking,-0.557,90
@bbcbreaking,-0.128,91
@bbcbreaking,-0.735,92
@bbcbreaking,-0.34,93
@bbcbreaking,-0.477,94
@bbcbreaking,0.735,95
@bbcbreaking,0.178,96
@bbcbreaking,-0.791,97
@bbcbreaking,0.0,98
@bbcbreaking,-0.052,99
@bbcbreaking,-0.625,100
